,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09,업종
110,동구바이오제약,6620,21.21212121212121,8.062234794908061,8.207070707070708,8.857808857808857,의약품 제조업
111,동방선기,99410,-2.4734982332155475,-10.894941634241247,-4.593639575971731,-3.928571428571429,선박 및 보트 건조업
112,디에이테크놀로지,196490,6.2246278755074425,2.807486631016043,0.8771929824561403,-16.102841677943168,특수 목적용 기계 제조업
113,디에이피,66900,3.3437360677663843,5.686274509803924,0.3848003848003848,2.34375,전자부품 제조업
114,디엔에이링크,127120,5.389221556886229,-15.675675675675675,-35.80246913580247,-28.021978021978025,자연과학 및 공학 연구개발업
115,디엔에프,92070,20.943134535367545,17.514792899408285,6.175771971496438,7.166123778501628,기타 화학제품 제조업
116,디지틀조선,33130,25.0,30.188679245283016,13.425925925925927,8.040201005025125,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
117,룽투코리아,60240,0.10905125408942204,13.553113553113553,-10.09771986970684,3.6764705882352944,소프트웨어 개발 및 공급업
118,링크제니시스,219420,67.30769230769229,33.82352941176471,18.51851851851852,25.71428571428571,소프트웨어 개발 및 공급업
119,메디톡스,86900,31.521739130434785,28.710543989254532,8.150967332699016,-7.826887661141805,기초 의약물질 및 생물학적 제제 제조업
120,메이슨캐피탈,21880,-0.998463901689708,-13.601532567049807,-19.34604904632152,4.301075268817205,기타 금융업
121,메탈라이프,327260,11.458333333333332,34.84848484848485,7.432432432432432,-2.7322404371584703,전자부품 제조업
122,모두투어,80160,18.128342245989305,10.758263123784833,1.3657703798548868,-9.599156118143457,여행사 및 기타 여행보조 서비스업
123,모비스,250060,-44.444444444444436,-22.388059701492534,-8.762886597938143,-2.1621621621621623,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
124,모트렉스,118990,19.072550486163053,-0.1002004008016032,-0.6567314978529932,1.2161415146489774,자동차 신품 부품 제조업
125,미래SCI,28040,-9.090909090909092,-8.46456692913386,-18.29268292682927,-3.79746835443038,상품 중개업
126,미스터블루,207760,11.612903225806454,12.987012987012985,40.52478134110788,33.41346153846153,기타 정보 서비스업
127,미코바이오메드,214610,-33.587786259541986,-50.29940119760479,-81.81818181818183,,의료용 기기 제조업
128,바디텍메드,206640,3.9509536784741135,9.1164095371669,20.604395604395602,41.45251396648045,의료용품 및 기타 의약 관련제품 제조업
129,바이넥스,53030,-5.656108597285066,5.259146341463413,7.880055788005579,8.321775312066574,의약품 제조업
