,회사코드,회사이름,corr
131,013810,스페코,0.24890543276851396
132,222800,심텍,0.5965086563166987
133,010280,쌍용정보통신,0.19711606830399564
134,115480,씨유메디칼,-0.3676506961893176
135,900120,씨케이에이치,-0.5279420993104029
136,123860,아나패스,-0.795252068353299
137,099190,아이센스,0.09357805752205695
138,040910,아이씨디,-0.47875344145851145
139,068940,아이씨케이,-0.9030665762807122
140,078860,아이오케이,-0.322186777807546
141,114810,아이원스,0.8210872900337406
142,031310,아이즈비전,-0.031519488323672226
143,124500,아이티센,-0.4246450644124358
144,260660,알리코제약,-0.9473793479520445
145,096610,알에프세미,0.6303505826725408
146,061040,알에프텍,0.3936340667205542
147,310200,애니플러스,-0.9142838001027154
148,102120,어보브반도체,0.37379160858608534
149,065420,에스아이리소스,
150,103230,에스앤더블류,-0.2609773115409784
151,095910,에스에너지,-0.8959784628994186
152,096630,에스코넥,0.13242335799754812
153,043340,에쎈테크,0.8543786563005548
154,096690,에이루트,0.9086155476347919
155,241840,에이스토리,0.5788896486550309
156,021080,에이티넘인베스트,0.27755816125277116
157,950130,엑세스바이오,0.7435823789946177
158,092870,엑시콘,0.6401498543210098
159,048830,엔피케이,-0.15763306401549146
160,058630,엠게임,-0.7859407239784505
161,019590,엠벤처투자,0.30561690573405326
162,097520,엠씨넥스,-0.24467207874602756
163,045060,오공,-0.9853224066393547
164,048260,오스템임플란트,-0.44825934828329717
165,049480,오픈베이스,0.5492062339043319
166,019210,와이지-원,0.15415852124952323
167,082850,우리바이오,0.4191851783751081
168,074600,원익QnC,-0.600761681574862
169,014190,원익큐브,-0.6862501953807212
170,095270,웨이브일렉트로,-0.5677577298838321
171,065950,웰크론,-0.0002259845403856624
172,036090,위지트,-0.34617570115157464
173,203450,유니온커뮤니티,-0.22009586645831714
174,241690,유니테크노,-0.417848935805421
175,078070,유비쿼스홀딩스,0.5082624635623721
176,054930,유신,-0.8528679880884578
177,179900,유티아이,-0.9746167116446743
178,047560,이스트소프트,-0.5803112459851669
179,900110,이스트아시아홀딩스,0.9021065647367268
180,087730,이엠네트웍스,-0.9679300501809394
181,123570,이엠넷,-0.027999071853205316
182,079950,인베니아,-0.2837102377228863
183,064290,인텍플러스,0.34386543071186804
184,254120,자비스,-0.563589154954846
185,234920,자이글,-0.9529024490469626
186,174880,장원테크,0.3338520885702961
187,040420,정상제이엘에스,-0.6056934044212093
188,079370,제우스,-0.34147599514979643
189,094970,제이엠티,-0.21403969791842922
190,023440,제일제강,-0.637477629636249
191,080220,제주반도체,-0.7097758863055195
192,082270,젬백스,-0.5853354882909095
193,034940,조아제약,-0.23915204255473407
